Subject Name, Topic Name, Question,
Object_oriented_programming, Object, The interview was quite easy. Most of the questions were from academic project  3 questions were from oops. He also asked me sql concepts like joins  normalization  triggering  indexing. As he is oracle team lead most of the questions he asked me from oracle that I was unable to answer and I just said that I don't have much knowledge in this. He also asked me to write a program to merge two strings. At the end he asked me to rate myself in java as well as oracle. After that he told many things about wipro when I asked him. My technical interview continued for about 35 minutes after an hour results were declared and I cleared my technical round. After that we were asked to leave for home.,
Object_oriented_programming, Object, "Generally for any interviews we might have heard of having group discussions on general topics but for LG Soft it is completely different. They will give you a technical topic and would divide the crowd into 2 groups. They will give 10 minutes for one group to support their concept and in the same way other group too! What I felt was that it was more like a debate than a discussion. In this round they will not assess our Communication skills or Management Skills rather they would specifically analyze our technical knowledge. For us the topic was ""Procedural Oriented Vs Object Oriented"". I initially  thought that it was an easy topic to discuss but as it is a competition we will not easily get chance to express and support our words. Somehow I tried to convey the things that I know and actively participated in the discussion. After 10 minutes they will change the positions of the 2 groups and would ask you to speak. Now  we should be very careful. We should not repeat the points that were already mentioned by some other people. I confidently discussed with my competitors and somehow qualified in the second round.",
Object_oriented_programming, encapsulation, Abstract classes are closely related to interfaces. They are classes that cannot be instantiated  and are frequently either partially implemented  or not at all implemented. One key difference between abstract classes and interfaces is that a class may implement an unlimited number of interfaces  but may inherit from only one abstract (or any other kind of) class. A class that is derived from an abstract class may still implement interfaces. Abstract classes are useful when creating components because they allow you specify an invariant level of functionality in some methods  but leave the implementation of other methods until a specific implementation of that class is needed. They also version well  because if additional functionality is needed in derived classes  it can be added to the base class without breaking code.,
Object_oriented_programming, Object, The other 25 questions were technical questions based on basic programming logics  java  object oriented technology  SQL  networking  etc and the time was 30 minutes. You could solve either of the sections first but cannot carry the timing of one section to the other one and also there was an option to go back to the questions so you could change your answer if you wanted.,
Object_oriented_programming, applet, In unmanaged environments the compiler and linker directly compile the source code in to native instructions that are targeted at a specific processor. The disadvantage of this process is that each time you want to run your executable on a different platform you will have to re-compile the code using a compiler and linker that will compile the code that is targeted at the specific hardware. This means that each time you want your application to run on a different platform  you will have to ship the compiled instructions again and again. As this leads to compiling and maintaining multiple versions of the same application  the companies try to create a more generalized compiled version in order to target most of the environments. This process is known as the Lowest Common Denominator approach. This leads to a more generalized program which is not optimized properly and does not take advantages of the underlying hardware infrastructure (processor  cache  etc). Because the CLR supplies one or more Just in Time Compiler for each computer architecture it supports  the same set of MSIL can be JIT-compiled and run on any supported architecture.,
Object_oriented_programming, Object, If you have good domain knowledge and concepts like Java OOPS  DBMS and SQL Queries  Data structures  you can easily crack this interview. Never forget to prepare your final year project. prepare DBMS specially(join  normalization  transaction  acid properties).,
Object_oriented_programming, jdbc, "Users normally use the ""connect"" statement to connect from one database user to another. However  DBAs can switch from one user to another without a password. Of course it is not advisable to bridge Oracle's security  but look at this example: SQL> select password from dba_users where username='SCOTT';",
Object_oriented_programming, Object, Motorola india -job profile was writing codes/programs for its mobile job location banglore. test paper consisted of 30 objective questions. most of them were electronics 3 c programs-find out mistakes from them.In one of them an int type variable was assigned value using function: int i= func() however the function was not declared earlier.,
Object_oriented_programming, Object, 1. tech test objective questions 20 min 30 qu. covering core java  JSP  EJB  SQL,
Object_oriented_programming, Object, A record group is an internal Oracle Forms data structure that has a column/row framework similar to a database table. However  unlike database tables  record groups are separate objects that belong to the form module in which they are defined. A record group can have an unlimited number of columns of type CHAR  LONG  NUMBER  or DATE provided that the total number of columns does not exceed 64K. Record group column names cannot exceed 30 characters.,
Object_oriented_programming, Object, ActiveX Data Object. ADO can access data from both flat files as well as the databases. I.e.  It is encapsulation of DAO  RDO  and OLE that is why we call it as OLE-DB Technology. Objects are Connection  Record Set  Command  Parameter  field  Error  Property.,
Object_oriented_programming, thread, First-round which was Aptitude round has happened at our college. There were mainly two parts of the paper. The first part consists of questions and the second one was the coding round. In first parts  Questions are mainly from the Software engineering  Java  Database  quantitative aptitude  and English. The question was easy but need the basic understanding of these subjects. In the second round  there was two coding question. We can only choose java as a coding language. The question was easy  If you have knowledge about Collection  Thread in java then you can very easily do these questions.,
Object_oriented_programming, Object, The Open Hub Service enables us to distribute data from an SAP BW system  into external Data Marts  analytical applications  and other applications. We  can ensure controlled distribution using several systems. The central object for  exporting data is the InfoSpoke. We can define the source and the target object  for the data. BW becomes a hub of an enterprise,
